fk_modul_id;Akteur;Akteur_lang
8e1cfb5a-06a8-453c-a839-e3b97fb6ddd6;UBA;Umweltbundesamt
77c32581-cd66-40d1-9c53-e46db66441d4;UBA;Umweltbundesamt
11fdf7df-b27c-499c-98bc-862cfae44470;UBA;Umweltbundesamt
00139181-5fe0-4fd2-9a62-40d9228a90cf;UBA;Umweltbundesamt
c4cbf1ef-f377-456a-a753-1b274da8acef;UBA;Umweltbundesamt
c0e0c56a-a194-4867-b2c8-3857e3e22d6f;UBA;Umweltbundesamt
8b0c08ef-c5a1-4e34-a04e-576942562a44;UBA;Umweltbundesamt
7852aeaf-3996-497b-a2db-ac185d941b44;UBA;Umweltbundesamt
95f2087f-5e8b-4ae6-b8b0-063a7170ec41;UBA;Umweltbundesamt
19e44e1b-a3f9-413a-9538-312df8acf93b;UBA;Umweltbundesamt
13e462ea-29cf-4dd8-baee-0460dcdaa67e;UBA;Umweltbundesamt
b070fed8-9742-4eb9-85fc-31dd1927229a;UBA;Umweltbundesamt
ad9b905e-4f96-4991-a878-65b0150effc2;UBA;Umweltbundesamt
aa699033-8e24-4f74-82a1-472870fbaa3c;UBA;Umweltbundesamt
88d290a1-7466-4e93-84bb-8de057cde221;UBA;Umweltbundesamt
feebbc28-2342-47e4-a366-354de2f98fb5;UBA;Umweltbundesamt
06b7796b-d1b6-4b93-bbc9-cd445d21540e;UBA;Umweltbundesamt
5b5938c5-2e24-4318-98f1-5708e8d99304;UBA;Umweltbundesamt
e9895c93-aa62-4281-a662-56ae909ee793;UBA;Umweltbundesamt
a7986c63-7312-400c-b53e-4853bb0aae03;BMEL;Bundesministerium für Ernährung und Landwirtschaft
ed2e3359-d7d1-4533-b4ee-8f24b806495f;TI-WO;Thünen-Institut für Waldökosysteme
4d04f5cb-c107-44bf-97fe-d202dfac153f;TI-WO;Thünen-Institut für Waldökosysteme
9d920114-a2aa-4088-ac32-2cd005aaab58;BfN;Bundesamt für Naturschutz
c658a937-4742-4cb9-8525-960e735f370c;BfN;Bundesamt für Naturschutz
dcb186a6-c41f-47eb-aca8-0c655f3a1fb6;BfN;Bundesamt für Naturschutz
30cfdaf7-337f-4ed4-a76b-95356d7ba3ec;TI;Thünen-Institut Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei
a9bd5fa7-ca71-43f1-83fb-ed6e9545f35a;JKI-Bienen;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Bienenschutz
79ec11c2-ee6e-4910-abb8-4d83c128381e;TI;Thünen-Institut Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei
ce89d9e6-d3f7-4052-8507-a2d8828eb97f;JKI-StrategieFolgen;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Strategien und Folgenabschätzung
a9c9352c-2958-482f-801e-1f985d127691;JKI-Bienen;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Bienenschutz
620b1688-fa7f-446e-97ed-8c41754d7514;JKI-PflSchAcker;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Pflanzenschutz in Ackerbau und Grünland
bb97d5f9-aec8-44fd-a298-86dcfc544fb0;JKI-OekolChem;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Ökologische Chemie, Pflanzenanalytik und Vorratsschutz
e66fb6f7-91c8-49a2-a732-96f4e5ee47e6;BLE-IBV;Informations- und Koordinationszentrum für biologische Vielfalt
5467b5c3-bd86-4f3b-93cc-825d4710a6f4;TI-LV;Thünen-Institut für Lebensverhältnisse in Ländlichen Räumen
526ad6e7-6759-4805-ac49-be55987bcba0;JKI-OekolChem;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Ökologische Chemie, Pflanzenanalytik und Vorratsschutz
70b34181-7572-4049-a9ad-16c2381850c0;JKI-StrategieFolgen;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Strategien und Folgenabschätzung
e1078e88-8727-4d1b-b67e-2c068c6da757;TI-BD;Thünen-Institut für Biodiversität
4c209ab4-fd6d-4f19-9182-6ac3925facef;TI;Thünen-Institut Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei
0af2666e-a634-427b-914a-9699332d31d4;TI-BW;Thünen-Institut für Betriebswirtschaft
de1e9a86-c765-4d6b-a14a-b6d1076aec47;JKI-PflSchObst;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Pflanzenschutz in Obst- und Weinbau
31b4a1bc-e744-4b1d-b237-8f7000dd7b29;JKI-BiolPflSchutz;Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen Institut für Biologischen Pflanzenschutz
bc4c5535-b6dd-4cff-a0c1-d72263cebdbb;LUNG-MV;Landesamt für Umwelt, Naturschutz und Geologie Mecklenburg-Vorpommern
9a3362d3-115d-46d4-8489-a5874acdcd1e;BfN;Bundesamt für Naturschutz
9f7d5766-1db1-46ab-be0d-074919e71f71;OSPAR;Oslo-Paris-Kommission
4b5e0f25-aaaa-4994-b4bb-4ab4e008ce68;BfN;Bundesamt für Naturschutz
ad7f7043-7d12-4fd9-b314-65306c86accf;CWSS;Gemeinsames Wattenmeersekretariat
4dda530d-8d34-4214-b2b8-fcd7b5536fe1;CWSS;Gemeinsames Wattenmeersekretariat
a893e564-0b5f-429c-a112-d0fbae26f292;CWSS;Gemeinsames Wattenmeersekretariat
b25831f3-286f-4276-9c4e-54cc00a1e30d;CWSS;Gemeinsames Wattenmeersekretariat
2bce6b46-fc40-4725-b050-14b9b58932c3;DDA;Dachverband Deutscher Avifaunisten
69f43db5-a3c2-4157-9ee7-6ba381dae91c;BfN;Bundesamt für Naturschutz
e17330bd-5927-473c-9fe5-65df21809e49;BfN;Bundesamt für Naturschutz
ddae618b-f9b5-49ac-a074-4ae99b20d29b;CWSS;Gemeinsames Wattenmeersekretariat
0c0a610c-f9d6-4cd9-8b2a-06b387cb9598;HELCOM;Helsinki-Kommission
d983b01c-9fea-4817-b4b2-7e3e9d911d38;OSPAR;Oslo-Paris-Kommission
0cf3cb32-9468-4a9a-bb22-347a90d854c0;DMM;Deutsches Meeresmuseum Stralsund
5c0c6e8f-9aef-4f14-ad00-812de5fdf2de;LUNG-MV;Landesamt für Umwelt, Naturschutz und Geologie Mecklenburg-Vorpommern
74d5ca9d-bc79-4c10-9788-dc7323999f41;CWSS;Gemeinsames Wattenmeersekretariat
21510249-a22a-4a5e-a8dd-e58602533e24;BfN;Bundesamt für Naturschutz
67bb320b-6467-45f3-b972-cf2ab18a3c51;FTZ;Forschungs- und Technologiezentrum Westküste
5c2f6148-5efe-4449-90a8-da3864f7fe74;NPV-SH;Nationalparkverwaltung Schleswig-Holstein
ceb417d3-8955-4e7f-b1ab-4cb50e4df006;BfN;Bundesamt für Naturschutz
12215906-fda8-4b25-853f-fff60cc6d878;AWI;Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
01adbe57-cab2-4276-818c-b3aced73e62e;BfN;Bundesamt für Naturschutz
b73ccade-ce2f-4f32-b15c-baf1ec9d5e3a;AWG-BY;Bayerisches Amt für Waldgenetik
71d6622d-ca1a-4856-be02-71d8b9ee6168;AWG-BY;Bayerisches Amt für Waldgenetik
17ca3bfb-89f8-4b6d-84b5-d5a0807b4ba4;LAWA;Länder-Arbeitsgemeinschaft Wasser
99d611ee-4ec1-46d4-bb4e-a840f861fbe8;LAWA;Länder-Arbeitsgemeinschaft Wasser
a7ba2e3c-ca2f-4bf0-9132-9df0b723b83b;LAWA;Länder-Arbeitsgemeinschaft Wasser
