fk_modul_id;Artengruppe;BV_Art;Fokus;Sphaere;Biol_Fokus_f;Sphaere_f;Progrshort
00139181-5fe0-4fd2-9a62-40d9228a90cf;Mikroorganismen;Abundanz der Gemeinschaft;Keiner;edaphisch;Keiner;edaphisch;BDF
00c1f9bd-4733-4e89-8496-416fff0dec7e;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;MonNNE
00c1f9bd-4733-4e89-8496-416fff0dec7e;Vögel;Artvorkommen;Artengruppen;marin;Artengruppen;marin;MonNNE
00c1f9bd-4733-4e89-8496-416fff0dec7e;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;MonNNE
0180e8fb-7d5d-427b-93d9-11f465ff04fb;Andere Wirbellose;Artvorkommen;Habitate;marin;Habitate;marin;TMAP
01adbe57-cab2-4276-818c-b3aced73e62e;Säugetiere;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
06b7796b-d1b6-4b93-bbc9-cd445d21540e;Regenwürmer;Artvorkommen;Keiner;edaphisch;Keiner;edaphisch;BDF
06b7796b-d1b6-4b93-bbc9-cd445d21540e;Andere Wirbellose;Artvorkommen;Keiner;edaphisch;Keiner;edaphisch;BDF
06bd8887-f60e-438c-896c-309a32a29618;Algen;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;TMAP
0772a71d-6b13-4a0d-a6ef-513140d5ecc4;Säugetiere;Morphologie;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Schalenwild
0a01f707-6222-4a14-a799-6d40ceabd8f9;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;TMAP
0c0a610c-f9d6-4cd9-8b2a-06b387cb9598;Mikroorganismen;taxonomische/phylogenetische Vielfalt;Artengruppen;marin;Artengruppen;marin;BLMP
0c47055a-777e-419f-b50e-706efa095046;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;WILD
0cf3cb32-9468-4a9a-bb22-347a90d854c0;Säugetiere;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
0cf3cb32-9468-4a9a-bb22-347a90d854c0;Säugetiere;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;BLMP
0cf3cb32-9468-4a9a-bb22-347a90d854c0;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
0cf3cb32-9468-4a9a-bb22-347a90d854c0;Fische;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;BLMP
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Amphibien/Reptilien;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;FFH
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Amphibien/Reptilien;Artvorkommen;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;FFH
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Amphibien/Reptilien;Artvorkommen;Habitate & Artengruppen;edaphisch;Habitate & Artengruppen;edaphisch;FFH
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Gefäßpflanzen und Farne;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;FFH
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Gefäßpflanzen und Farne;Artvorkommen;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;FFH
0d7bbfdd-767e-48f8-94f8-e47a9784c67b;Gefäßpflanzen und Farne;Artvorkommen;Habitate & Artengruppen;edaphisch;Habitate & Artengruppen;edaphisch;FFH
0dc6234b-eadb-4250-9c18-344e16f3f6a9;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Vogelmonitoring
0dc6234b-eadb-4250-9c18-344e16f3f6a9;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;Vogelmonitoring
0f7b47af-0f88-4d95-94d9-606503ed44ac;Gefäßpflanzen und Farne;Physiologie;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Schalenwild
0f7b47af-0f88-4d95-94d9-606503ed44ac;Säugetiere;Artenhäufigkeiten;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Schalenwild
11fdf7df-b27c-499c-98bc-862cfae44470;Gefäßpflanzen und Farne;Artvorkommen;Keiner;terrestrisch;Keiner;terrestrisch;BDF
12215906-fda8-4b25-853f-fff60cc6d878;Mollusken;genetische Differenzierung;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
12215906-fda8-4b25-853f-fff60cc6d878;Mollusken;genetische Differenzierung;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;BLMP
12215906-fda8-4b25-853f-fff60cc6d878;Fische;genetische Differenzierung;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
12215906-fda8-4b25-853f-fff60cc6d878;Fische;genetische Differenzierung;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;BLMP
12215906-fda8-4b25-853f-fff60cc6d878;Algen;taxonomische/phylogenetische Vielfalt;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
12215906-fda8-4b25-853f-fff60cc6d878;Algen;taxonomische/phylogenetische Vielfalt;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;BLMP
