fk_modul_id;habitat;BV_habitat
00139181-5fe0-4fd2-9a62-40d9228a90cf;Regelmäßig oder in jüngster Zeit bewirtschaftete landwirtschaftliche, gärtnerische und häusliche Lebensräume;Ökosystem-Vorkommen
00a31df4-6d27-4e33-bee4-c0ec62738b50;Marine habitate;Anteil der lebenden Bedeckung
00a31df4-6d27-4e33-bee4-c0ec62738b50;Marine habitate;Ökosystem-Störungen
00a31df4-6d27-4e33-bee4-c0ec62738b50;Marine habitate;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Grasland und von Kräutern, Moosen oder Flechten dominierte Flächen;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Wälder, Forste und andere bewaldete Flächen;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Heideland, Gebüsch und Tundra;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Oberflächengewässer im Binnenland;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Bebaute, industrielle und andere künstliche Lebensräume;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Regelmäßig oder in jüngster Zeit bewirtschaftete landwirtschaftliche, gärtnerische und häusliche Lebensräume;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Marine habitate;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Küstenhabitate;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Moore, Sümpfe und Flachmoore;Ökosystem-Vorkommen
00c1f9bd-4733-4e89-8496-416fff0dec7e;Unbegrünte oder spärlich bewachsene Lebensräume im Binnenland;Ökosystem-Vorkommen
0180e8fb-7d5d-427b-93d9-11f465ff04fb;Marine habitate;Ökosystem-Vorkommen
0180e8fb-7d5d-427b-93d9-11f465ff04fb;Marine habitate;Anteil der lebenden Bedeckung
01adbe57-cab2-4276-818c-b3aced73e62e;Marine habitate;Ökosystem-Vorkommen
01adbe57-cab2-4276-818c-b3aced73e62e;Küstenhabitate;Ökosystem-Vorkommen
01adbe57-cab2-4276-818c-b3aced73e62e;Marine habitate;Ökosystem-Störungen
01adbe57-cab2-4276-818c-b3aced73e62e;Küstenhabitate;Ökosystem-Störungen
06b7796b-d1b6-4b93-bbc9-cd445d21540e;Regelmäßig oder in jüngster Zeit bewirtschaftete landwirtschaftliche, gärtnerische und häusliche Lebensräume;Ökosystem vertikales Profil
06bd8887-f60e-438c-896c-309a32a29618;Marine habitate;Anteil der lebenden Bedeckung
06bd8887-f60e-438c-896c-309a32a29618;Marine habitate;Ökosystem-Vorkommen
06bd8887-f60e-438c-896c-309a32a29618;Marine habitate;Primärproduktivität
06bd8887-f60e-438c-896c-309a32a29618;Marine habitate;Ökosystem-Störungen
