modul_id;modulname;Unterprogramm;Programm;Progrshort;Status
8e1cfb5a-06a8-453c-a839-e3b97fb6ddd6;Schleswig-Holstein - Bodenfauna;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
77c32581-cd66-40d1-9c53-e46db66441d4;Thüringen - Regenwürmer;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
11fdf7df-b27c-499c-98bc-862cfae44470;Sachsen-Anhalt - Vegetation;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
00139181-5fe0-4fd2-9a62-40d9228a90cf;Brandenburg - Mikrobiologie;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
c4cbf1ef-f377-456a-a753-1b274da8acef;Nordrhein-Westfalen - Bodenfauna;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
c0e0c56a-a194-4867-b2c8-3857e3e22d6f;Schleswig-Holstein - Bodenmikrobiologie;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
8b0c08ef-c5a1-4e34-a04e-576942562a44;Niedersachsen - Mikrobiologie;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
7852aeaf-3996-497b-a2db-ac185d941b44;Niedersachsen - Vegetation;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
95f2087f-5e8b-4ae6-b8b0-063a7170ec41;Brandenburg - Regenwürmer;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
19e44e1b-a3f9-413a-9538-312df8acf93b;Bayern - Regenwürmer LfL;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
13e462ea-29cf-4dd8-baee-0460dcdaa67e;Nordrhein-Westfalen - Bodenmikrobiologie;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
b070fed8-9742-4eb9-85fc-31dd1927229a;Sachsen-Anhalt - Bodenmikrobiologie;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
ad9b905e-4f96-4991-a878-65b0150effc2;Thüringen - Pflanzenertrag TLL;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
aa699033-8e24-4f74-82a1-472870fbaa3c;Thüringen - Bodenbiologie TLL;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;beendet
88d290a1-7466-4e93-84bb-8de057cde221;Bayern - Vegetation;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
feebbc28-2342-47e4-a366-354de2f98fb5;Sachsen-Anhalt - Regenwürmer;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
06b7796b-d1b6-4b93-bbc9-cd445d21540e;Niedersachsen - Bodenfauna;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
5b5938c5-2e24-4318-98f1-5708e8d99304;Schleswig-Holstein - Vegetation;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
e9895c93-aa62-4281-a662-56ae909ee793;Bayern - Regenwürmer LfU;Bodendauerbeobachtung;Bodendauerbeobachtung;BDF;laufend
a7986c63-7312-400c-b53e-4853bb0aae03;Bodenzustandserhebung;Bodenzustandserhebung - Wald;Forstliches Umweltmonitoring in Deutschland;ForUmMon;laufend
ed2e3359-d7d1-4533-b4ee-8f24b806495f;Bundeswaldinventur;Bundeswaldinventur;Bundeswaldinventur;BWI;laufend
4d04f5cb-c107-44bf-97fe-d202dfac153f;Inventurstudie und Kohlenstoffinventur;Bundeswaldinventur;Bundeswaldinventur;BWI;laufend
9d920114-a2aa-4088-ac32-2cd005aaab58;Monitoring häufiger Insekten - 1A: Tagfalter & Widderchen auf der Landschaftsebene;Bundesweites Insektenmonitoring;Bundesweites Insektenmonitoring;InsektMon;in Erprobung
c658a937-4742-4cb9-8525-960e735f370c;Monitoring häufiger Insekten - 1C: Laufkäfer & bodenlebende Spinnen in Grünland, Acker und Wald;Bundesweites Insektenmonitoring;Bundesweites Insektenmonitoring;InsektMon;in Entwicklung
dcb186a6-c41f-47eb-aca8-0c655f3a1fb6;Monitoring häufiger Insekten - 1B Heuschrecken im Grünland;Bundesweites Insektenmonitoring;Bundesweites Insektenmonitoring;InsektMon;in Erprobung
30cfdaf7-337f-4ed4-a76b-95356d7ba3ec;Wildbienen-Monitoring in Agrarlandschaften - Standardisierte, nicht-repräsentative Erfassung (Zufallsmeldung);Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
a9bd5fa7-ca71-43f1-83fb-ed6e9545f35a;Monitoring Insekten - Honigbienen-Langzeittrendmonitoring;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
79ec11c2-ee6e-4910-abb8-4d83c128381e;Wildbienen-Monitoring in Agrarlandschaften - Standardisierte, nicht-repräsentative Erfassung (Ehrenamtl Flächen);Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Erprobung
ce89d9e6-d3f7-4052-8507-a2d8828eb97f;Monitoring Boden & Organismengruppen - Schaderreger;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
a9c9352c-2958-482f-801e-1f985d127691;Citizen Science Monitoring Insekten - Honigbienen-Langzeittrendmonitoring mit Imkern;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
620b1688-fa7f-446e-97ed-8c41754d7514;Monitoring Boden & Organismengruppen - Ackerunkräuter;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
bb97d5f9-aec8-44fd-a298-86dcfc544fb0;Monitoring Boden & Organismengruppen - Regenwurm-Monitoring;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
e66fb6f7-91c8-49a2-a732-96f4e5ee47e6;Monitoring Insekten - Genetische Varianz von Honigbienen;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
5467b5c3-bd86-4f3b-93cc-825d4710a6f4;Monitoring der Lebensraumvielfalt in Agrarlandschaften - Landnutzungs-Monitoring basierend auf Agrarstatistik;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
526ad6e7-6759-4805-ac49-be55987bcba0;Biodiversität der Kleingewässer;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
70b34181-7572-4049-a9ad-16c2381850c0;Monitoring der Lebensraumvielfalt in Agrarlandschaften - Kleinstrukturen und Landschaftselemente;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
e1078e88-8727-4d1b-b67e-2c068c6da757;Monitoring Boden & Organismengruppen - Bodenmikroorganismen;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
4c209ab4-fd6d-4f19-9182-6ac3925facef;Wildbienen-Monitoring in Agrarlandschaften - Standardisierte, repräsentative Erfassung;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Erprobung
0af2666e-a634-427b-914a-9699332d31d4;Monitoring der Lebensraumvielfalt in Agrarlandschaften - Landnutzungs-Monitoring basierend auf Fernerkundung;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
de1e9a86-c765-4d6b-a14a-b6d1076aec47;Monitoring Insekten - Hymenoptera im Obst- und Weinbau;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
31b4a1bc-e744-4b1d-b237-8f7000dd7b29;Monitoring Insekten - Parasitoide und andere Nützlinge;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;Bundesweites Monitoring der biologischen Vielfalt in Agrarlandschaften;MonViA;in Entwicklung
bc4c5535-b6dd-4cff-a0c1-d72263cebdbb;Messprogramm-Nr. 190 - Abundanz, Reproduktion und Verbreitung marine Säuger (Ostsee) - Liegeplätze Monitoringausfahrten;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
9a3362d3-115d-46d4-8489-a5874acdcd1e;Messprogramm-Nr. 184 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Ostsee) - Flugerfassung, Kompletterfassung;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
9f7d5766-1db1-46ab-be0d-074919e71f71;Messprogramm-Nr. 55 - Hardbottom Makrophytobenthos Nordsee;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
4b5e0f25-aaaa-4994-b4bb-4ab4e008ce68;Messprogramm-Nr. 186 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Nordsee) - Flugerfassung;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
ad7f7043-7d12-4fd9-b314-65306c86accf;"Messprogramm-Nr. 182; Rapid Assessment Survey RAS - Gesundheitszustand marine Säuger (Nordsee) - Lebendmonitoring Seehund";Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
4dda530d-8d34-4214-b2b8-fcd7b5536fe1;Messprogramm-Nr. 180 - Abundanz und Verbreitung See- und Küstenvögel (Nordsee) - Brutvögel Anzahl und Verbreitung aller JMBB Arten, Census Areas;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
a893e564-0b5f-429c-a112-d0fbae26f292;Messprogramm-Nr. 187 - Gesundheitszustand marine Säuger (Nordsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
b25831f3-286f-4276-9c4e-54cc00a1e30d;Messprogramm-Nr. 76 - Bruterfolg See- und Küstenvögel (Nordsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
2bce6b46-fc40-4725-b050-14b9b58932c3;Messprogramm-Nr. 183 - Monitoring rastender Wasservögel;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
69f43db5-a3c2-4157-9ee7-6ba381dae91c;Messprogramm-Nr. 184 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Ostsee) - Flugerfassung Transekte;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
e17330bd-5927-473c-9fe5-65df21809e49;Messprogramm-Nr. 362 - Abundanz und Verbreitung See- und Küstenvögel (Ostsee) - Rastvögel offshore;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
ddae618b-f9b5-49ac-a074-4ae99b20d29b;Messprogramm-Nr. 180 - Abundanz und Verbreitung See- und Küstenvögel (Nordsee) - Brutvögel Anzahl und Verbreitung, periodische Vollerfassung;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
0c0a610c-f9d6-4cd9-8b2a-06b387cb9598;Messprogramm-Nr. 37 - Zooplankton (Ostsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
d983b01c-9fea-4817-b4b2-7e3e9d911d38;Messprogramm-Nr. 36 - Zooplankton (Nordsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
0cf3cb32-9468-4a9a-bb22-347a90d854c0;Messprogramm-Nr. 131 - Gesundheitszustand marine Säuger (Ostsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
5c0c6e8f-9aef-4f14-ad00-812de5fdf2de;Messprogramm-Nr. 190 - Abundanz, Reproduktion und Verbreitung marine Säuer (Ostsee) - Liegeplätze Zufallssichtungen;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
74d5ca9d-bc79-4c10-9788-dc7323999f41;Messprogramm-Nr. 180 - Abundanz und Verbreitung See- und Küstenvögel (Nordsee) - Brutvögel Anzahl und Verbreitung ausgewählter Arten und Kolonniebrüter, Vollerfassung;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
21510249-a22a-4a5e-a8dd-e58602533e24;Messprogramm-Nr. 189 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Ostsee) - Akustik - Stichprobe;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
67bb320b-6467-45f3-b972-cf2ab18a3c51;Messprogramm-Nr. 185 - Abundanz und Verbreitung See- und Küstenvögel (Nordsee) - Rastvögel (Seabirds-At-Sea, MrW);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
5c2f6148-5efe-4449-90a8-da3864f7fe74;Messprogramm-Nr. 76 - Bruterfolg See- und Küstenvögel (Ostsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
ceb417d3-8955-4e7f-b1ab-4cb50e4df006;Messprogramm-Nr. 181 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Nordsee) - Akustik;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
12215906-fda8-4b25-853f-fff60cc6d878;Messprogramm-Nr. 50 und 114 - Erfassung nicht-einheimischer Arten in Häfen, Marinas und Aquakultur-Anlagen (Nord- und Ostsee);Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
01adbe57-cab2-4276-818c-b3aced73e62e;Messprogramm-Nr. 189 - Abundanz, Reproduktion und Verbreitung mariner Säuger (Ostsee) - Akustik - Kompletterfassung;Bund/Länder-Messprogramme;Bund/Länder-Messprogramme;BLMP;laufend
b73ccade-ce2f-4f32-b15c-baf1ec9d5e3a;Genetisches Monitoring;Genetisches Monitoring für Buche und Fichte in Deutschland;Genetisches Monitoring für Buche und Fichte in Deutschland;GenMon;beendet
71d6622d-ca1a-4856-be02-71d8b9ee6168;Phänologisches Monitoring;Genetisches Monitoring für Buche und Fichte in Deutschland;Genetisches Monitoring für Buche und Fichte in Deutschland;GenMon;beendet
17ca3bfb-89f8-4b6d-84b5-d5a0807b4ba4;Überblicksüberwachung - Fließgewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
99d611ee-4ec1-46d4-bb4e-a840f861fbe8;Überblicksüberwachung - Küstengewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
a7ba2e3c-ca2f-4bf0-9132-9df0b723b83b;Operative Überwachung - Grundwasser;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
7134343f-00a7-4c8e-9847-69aed6754a37;Operative Überwachung - Küstengewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
91def742-703b-4964-80c7-6b029e386351;Überblicksüberwachung - Grundwasser;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
583972eb-725c-4805-a301-50dbffe2dacd;Operative Überwachung - Fließgewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
7de11d6b-8b89-4647-a842-d567e0144336;Überblicksüberwachung - Übergangsgewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
aa24a453-eab6-4e0d-9ef9-6bb78caa09c0;Operative Überwachung - Übergangsgewässer;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
e8edaa6d-eed7-40ad-8ff7-82b731f8e0c8;Operative Überwachung - Seen;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
b38614d4-bfcf-4c06-9cd8-bcf928ac7c27;Überblicksüberwachung - Seen;Gewässerbewertung gemäß Wasserrahmenrichtlinie;Gewässerbewertung gemäß Wasserrahmenrichtlinie;WRRL;laufend
d5090bca-c42e-440d-b4a6-8adf0e04fa2e;Maßnahmenrelevante Arten;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;NPBsR;laufend
f8509f6a-a28c-4657-947e-874ac2aa9c13;Altersklassenaufbau Wald;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;NPBsR;laufend
5d8da353-9653-4485-a977-d02a19e08f94;Kernzone Biosphärenreservate;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;NPBsR;laufend
e8e142af-a1a3-4250-9316-34d130ec8f84;Natürliche Entwicklung Wald;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;Integratives Monitoring der Nationalparke und Biosphärenreservate Deutschlands;NPBsR;laufend
